4,8.470000,2.579872e-02
5,8.541429,1.434775e-02
6,8.612857,1.184970e-02
7,8.684286,1.046714e-02
8,8.755714,9.773216e-03
9,8.827143,9.093226e-03
10,8.898571,8.587182e-03
11,8.970000,8.391001e-03
12,9.041429,8.101162e-03
13,9.112857,7.911146e-03
14,9.184286,8.426940e-03
15,9.255714,9.476067e-03
16,9.327143,1.008126e-02
17,9.398571,9.821259e-03
18,9.470000,8.647791e-03
19,9.541429,7.613667e-03
20,9.612857,7.084718e-03
21,9.684286,6.711002e-03
22,9.755714,6.314267e-03
23,9.827143,6.049514e-03
24,9.898571,5.812582e-03
25,9.970000,5.600356e-03
26,10.041429,5.378243e-03
27,10.112857,5.197661e-03
28,10.184286,5.013904e-03
29,10.255714,4.842967e-03
30,10.327143,4.681258e-03
31,10.398571,4.527591e-03
32,10.470000,4.378591e-03
33,10.541429,4.234016e-03
34,10.612857,4.107571e-03
35,10.684286,4.009052e-03
36,10.755714,3.919114e-03
37,10.827143,3.836765e-03
38,10.898571,3.797153e-03
39,10.970000,3.923506e-03
